"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"39","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000053","2025-10-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 광희동2가 231 2층","서울특별시 중구 퇴계로64길 11, 2층 (광희동2가)","04614","동대문 도도","2025-12-31 10:54:11","U","2026-01-03 02:40:00","","200678.928729314","451273.424256662","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","1","0","Dongdaemun DuoDuo","City home-stay services for foreign tourists","0","0","","0","0","","0","43.59","","0","","","","","","","0","","","","44",
"40","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000054","2025-10-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 장충동2가 193-50 장충동빌리지 202호","서울특별시 중구 동호로25길 56, 202호 (장충동2가, 장충동빌리지)","04618","목인","2025-12-31 10:54:34","U","2026-01-03 02:40:00","","199981.833615499","450826.107443523","외국인관광 도시민박업","","","0","","","","다세대주택","0","0","2","0","MOKINN","City home-stay services for foreign tourists","0","0","","0","0","","0","59.79","","0","","","","","","","0","","","","60",
"41","외국인관광도시민박업","03_11_04_P","3050000","CDFI2262212025000027","2025-11-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 전농동 499-3","서울특별시 동대문구 답십리로23길 17, 3층 301호 (전농동)","02551","스테이 루프","2025-12-31 14:02:58","U","2026-01-03 02:40:00","","204222.731566524","452700.114763946","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","1","0","Stay Loop","Foreign Tourism Urban Stay-at-home Business","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"42","외국인관광도시민박업","03_11_04_P","3050000","CDFI2262212025000025","2025-10-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 용두동 102-188","서울특별시 동대문구 무학로34가길 5, 102호 (용두동)","02585","쉼스테이","2025-12-31 13:45:30","U","2026-01-03 02:40:00","","202921.972496287","452717.525593593","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","1","0","0","0","hue_stay","Foreign Tourism Urban Stay-at-home Business","0","0","","0","0","","0","66","","0","","","","","","","0","","","","66",
"43","외국인관광도시민박업","03_11_04_P","3050000","CDFI2262212025000026","2025-10-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 제기동 286-38","서울특별시 동대문구 제기로20길 17, 2층 (제기동)","02480","스테이 코지엘","2025-12-31 15:30:52","U","2026-01-03 02:40:00","","203610.108580323","453728.682589564","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","1","0","Stay Cozyel","Foreign Tourism Urban Stay-at-home Business","0","0","","0","0","","0","52.09","","0","","","","","","","0","","","","52",
"44","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000101","2025-12-17","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 석촌동 181-8 목련주택","서울특별시 송파구 송파대로47길 5-1, 목련주택 201호 (석촌동)","05609","쉼 스테이 서울","2025-12-31 18:19:55","U","2026-01-03 02:40:00","","209127.485830884","445019.823261684","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","42.72","","0","","","","","","","0","","","","43",
"45","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000102","2025-12-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 삼전동 61-6","서울특별시 송파구 백제고분로28길 6-17, 202호 (삼전동)","05583","소평(小平) 1","2025-12-31 18:19:42","U","2026-01-03 02:40:00","","207995.244495941","444512.467588621","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","50","","0","","","","","","","0","","","","50",
"46","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000065","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 장충동2가 151 1~2층","서울특별시 중구 퇴계로56가길 24, 1~2층 (장충동2가)","04616","담온정","2025-12-31 11:07:47","U","2026-01-03 02:40:00","","200309.54749779","451047.428908827","외국인관광 도시민박업","","","0","","","","","0","0","2","0","Dam On Jeong","City home-stay services for foreign tourists","0","0","","0","0","","0","70","","0","","","","","","","0","","","","70",
"47","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000066","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 241-144 1층","서울특별시 중구 다산로35길 23-1, 1층 (신당동)","04611","신당동 스마일 스테이","2025-12-31 11:08:43","U","2026-01-03 02:40:00","","201201.187443185","451277.448699303","외국인관광 도시민박업","","","0","","","","단독주택","0","0","2","0","Sindang Smile Stay","City home-stay services for foreign tourists","0","0","","0","0","","0","52.56","","0","","","","","","","0","","","","53",
"48","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000103","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 삼전동 61-11","서울특별시 송파구 백제고분로28길 8-14, B103호 (삼전동)","05583","리네스 하우스","2025-12-31 18:19:28","U","2026-01-03 02:40:00","","208014.944084331","444486.877290794","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","36","","0","","","","","","","0","","","","36",
"49","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000067","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 광희동2가 303-8 1층","서울특별시 중구 장충단로8가길 18-7, 1층 (광희동2가)","04614","DDP NEST","2025-12-31 11:09:41","U","2026-01-03 02:40:00","","200656.286025532","451209.471210486","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","1","0","DDP NEST","City home-stay services for foreign tourists","0","0","","0","0","","0","62.61","","0","","","","","","","0","","","","63",
"50","외국인관광도시민박업","03_11_04_P","3410000","CDFI2262212025000064","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","대구광역시 중구 봉산동 230-79","대구광역시 중구 명륜로23길 28, 2층 (봉산동)","41958","봉산 스테이","2025-12-31 09:17:13","U","2026-01-03 02:40:00","","344085.02646949","263522.540907538","외국인관광 도시민박업","","","0","","","","","2","0","2","0","","","0","0","","0","0","","0","80.73","","0","","","","","","","0","","","","81",
"51","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000079","2025-11-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 석촌동 293","서울특별시 송파구 송파대로39길 1, 302호 (석촌동)","05687","타야 스테이","2025-12-31 18:25:19","U","2026-01-03 02:40:00","","209548.047468699","444503.464649824","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","50","","0","","","","","","","0","","","","50",
"52","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000062","2025-12-17","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 묵정동 24-8 세림빌라 201호","서울특별시 중구 퇴계로50가길 6-1, 201호 (묵정동, 세림빌라)","04618","모노블룸 스테이","2025-12-31 10:59:46","U","2026-01-03 02:40:00","","200068.739790473","451009.515976197","외국인관광 도시민박업","","","0","","","","다세대주택","0","0","2","0","Mono Bloom Stay","City home-stay services for foreign tourists","0","0","","0","0","","0","54.9","","0","","","","","","","0","","","","55",
"53","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000063","2025-12-17","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 432-567 로얄하이츠빌라 202호","서울특별시 중구 동호로11마길 49, 202호 (신당동, 로얄하이츠빌라)","04602","로얄 202","2025-12-31 11:00:41","U","2026-01-03 02:40:00","","200379.073470268","449803.422093223","외국인관광 도시민박업","","","0","","","","연립주택","0","0","1","0","ROYAL 202","City home-stay services for foreign tourists","0","0","","0","0","","0","57.75","","0","","","","","","","0","","","","58",
"54","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000061","2025-12-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 304-233 2층","서울특별시 중구 다산로33라길 24-12, 2층 (신당동)","04612","스틸 하우스 신당","2025-12-31 10:59:03","U","2026-01-03 02:40:00","","201050.244336496","451330.697896784","외국인관광 도시민박업","","","0","","","","단독주택","0","0","1","0","Still house sindang","City home-stay services for foreign tourists","0","0","","0","0","","0","51.57","","0","","","","","","","0","","","","52",
"55","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000076","2025-10-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 삼전동 10-8","서울특별시 송파구 백제고분로21길 8-6, 2층 302호 (삼전동)","05605","초록3","2025-12-31 18:26:14","U","2026-01-03 02:40:00","","207910.566169105","444704.028787774","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","2","0","","","0","0","","0","0","","0","66","","0","","","","","","","0","","","","66",
"56","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000090","2025-11-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 61-14","서울특별시 송파구 오금로13길 21, 3층 (방이동)","05547","더윤스테이","2025-12-31 18:22:46","U","2026-01-03 02:40:00","","209654.65650915","445744.182568539","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","91.62","","0","","","","","","","0","","","","92",
"57","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000085","2025-11-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 석촌동 154-10","서울특별시 송파구 석촌호수로18길 15-8, 202호 (석촌동, 보람주택)","05610","준스테이","2025-12-31 18:24:04","U","2026-01-03 02:40:00","","208933.493469315","444823.600587928","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다세대주택","0","0","1","0","","","0","0","","0","0","","0","38.37","","0","","","","","","","0","","","","38",
"58","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000060","2025-12-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 황학동 1480 2층","서울특별시 중구 난계로15길 41-5, 2층 (황학동)","04574","고유홈","2025-12-31 10:58:01","U","2026-01-03 02:40:00","","201827.874613362","451814.862404685","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","1","0","Goyu home","City home-stay services for foreign tourists","0","0","","0","0","","0","66.59","","0","","","","","","","0","","","","67",
"59","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000086","2025-11-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 잠실동 216","서울특별시 송파구 백제고분로11길 26, B02호 (잠실동)","05569","류스테이","2025-12-31 18:23:34","U","2026-01-03 02:40:00","","207208.596566007","445101.428049443","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","30","","0","","","","","","","0","","","","30",
"60","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000087","2025-11-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 송파동 133-14","서울특별시 송파구 백제고분로46길 4-17, B02호 (송파동)","05665","미소 하우스","2025-12-31 18:23:46","U","2026-01-03 02:40:00","","209780.139530574","445087.264990526","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","35","","0","","","","","","","0","","","","35",
"61","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000064","2025-12-22","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 432-1363 101호","서울특별시 중구 다산로5길 6-10, 101호 (신당동)","04600","후즈홈","2025-12-31 11:05:51","U","2026-01-03 02:40:00","","200539.041674603","449791.341008737","외국인관광 도시민박업","","","0","","","","단독주택","0","0","2","0","Hoose Home","City home-stay services for foreign tourists","0","0","","0","0","","0","66.64","","0","","","","","","","0","","","","67",
"62","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000100","2025-12-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 잠실동 329-2","서울특별시 송파구 백제고분로18길 23-24, B02호 (잠실동)","05578","다온스테이","2025-12-31 18:20:14","U","2026-01-03 02:40:00","","207471.836716961","444482.133871751","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","43","","0","","","","","","","0","","","","43",
