"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"11","복합유통게임제공업","03_05_04_P","4830000","CDFF2241032025000002","2025-09-25","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 190-2","전라남도 나주시 상야1길 12, 골든프라자 에이동 4층 401호 (빛가람동)","58217","오엑스피시방(OXPC) 나주혁신도시점","2026-02-03 20:48:42","U","2026-02-06 02:40:00","","180433.405","169252.465","복합유통게임제공업","유통관련업","0","","식품접객업(휴게음식점)","356.26","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"12","복합유통게임제공업","03_05_04_P","3200000","CDFF2241032016000001","2016-02-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 신림동 1640-13","서울특별시 관악구 신림로 329, 지하1층 (신림동)","08776","하이브 PC방","2026-02-03 09:36:29","U","2026-02-06 02:40:00","","193688.002534384","442387.531613201","복합유통게임제공업","유통관련업","0","유흥업소밀집지역","식품접객업(휴게음식점)","349.29","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","151","","전체이용가","","","","일반상업지역",
"13","복합유통게임제공업","03_05_04_P","3820000","CDFF2241032020000002","2020-09-17","","03","폐업","03","폐업","2021-03-18","","","","","","","경기도 의정부시 의정부동 439-9 1층","경기도 의정부시 신흥로258번길 17-3, 1층 (의정부동)","11670","핫플레이스","2026-02-03 11:31:57","U","2026-02-06 02:40:00","","203831.551708228","470760.978354936","복합유통게임제공업","유통관련업","2","","음반음악영상물제작업","65","2","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"14","복합유통게임제공업","03_05_04_P","4800000","CDFF2241032026000001","2026-02-05","","01","영업/정상","13","영업중","","","","","","","","전라남도 목포시 상동 1137-2","전라남도 목포시 원형서로 52, 1층 (상동)","58748","스트라이크게임존","2026-02-05 13:46:58","I","2026-02-07 00:20:02","","147810.279471216","144454.294330529","복합유통게임제공업","유통관련업","2","","노래연습장","231.3","1","0","근린생활시설","0","169","0","0","","","","","","","","","","","","0","청소년게임제공업","전체이용가","","","","중심상업지역",
"15","복합유통게임제공업","03_05_04_P","4641000","CDFF2241032026000001","2026-02-03","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 덕진동1가 664-6","전북특별자치도 전주시 덕진구 권삼득로 333, 3층 301-2, 302-1, 302-2호 (덕진동1가)","54898","메카 PC 전북대 2호점","2026-02-05 09:01:15","I","2026-02-07 00:20:02","","211297.25008485","260536.722885699","복합유통게임제공업","유통관련업","0","","인터넷컴퓨터게임시설제공업, 식품접객업(2026-0750049)","480.16","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"16","복합유통게임제공업","03_05_04_P","3820000","CDFF2241032026000001","2026-02-05","","01","영업/정상","13","영업중","","","","","02-333-8334","","","경기도 의정부시 의정부동 196-1","경기도 의정부시 호국로1298번길 72, 1~2층 (의정부동)","11695","ZZANG GAMES(짱오락실)","2026-02-05 16:06:09","I","2026-02-07 00:20:02","","204184.590014759","470871.13951162","복합유통게임제공업","유통관련업","0","","기타테마파크업","279.8","0","0","","0","0","0","0","","","","","","","","","","","","0","청소년게임제공업, 기타테마파크업","전체이용가","","","","",
"17","복합유통게임제공업","03_05_04_P","4231000","CDFF2241032024000001","2024-09-05","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 대포동 937 카시아 속초","강원특별자치도 속초시 대포항희망길 120, 카시아 속초 a동 6층 (대포동)","24901","게임아케이드","2026-02-05 18:17:24","U","2026-02-07 02:40:00","","341006.503840998","520449.969876936","복합유통게임제공업","유통관련업","25","","","421.64","25","0","숙박시설","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"18","복합유통게임제공업","03_05_04_P","4191000","CDFF2241032017000001","2017-06-20","","03","폐업","03","폐업","2026-02-04","","","","","","","강원특별자치도 원주시 무실동 1857-10 시네시티타워","강원특별자치도 원주시 능라동길 51, 시네시티타워 806호 (무실동)","26392","브이알 플러스","2026-02-04 18:24:28","U","2026-02-07 02:40:00","","282361.656343235","426273.540502002","복합유통게임제공업","유통관련업","14","기타","","190.15","10","4","근린생활시설","0","40","0","0","","","","","","","","","","","","17","청소년게임제공업","전체이용가","","","","일반상업지역",
"19","복합유통게임제공업","03_05_04_P","4490000","CDFF2241032026000002","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 성정동 1324","충청남도 천안시 서북구 성정공원7길 9, 103호 (성정동)","31110","PSIC PC 성정공원점","2026-02-06 16:59:15","I","2026-02-08 00:20:01","","212612.273860292","369791.053454908","복합유통게임제공업","유통관련업","0","","식품접객업","585.69","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"20","복합유통게임제공업","03_05_04_P","3060000","CDFF2241032026000001","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 상봉동 130-22","서울특별시 중랑구 망우로32길 28, 2층 (상봉동)","02120","잇츠PC(중랑점)","2026-02-06 15:29:55","I","2026-02-08 00:20:01","","206697.874499528","454487.769612144","복합유통게임제공업","유통관련업","0","","휴게음식점","385.09","0","0","","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"21","복합유통게임제공업","03_05_04_P","3780000","CDFF2241032026000001","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 신흥동 4210-2","경기도 성남시 수정구 산성대로 249, 2층 (신흥동)","13353","제로백 성남신흥역점","2026-02-06 15:31:01","I","2026-02-08 00:20:01","","212742.994052411","437570.293255352","복합유통게임제공업","유통관련업","0","","식품접객업(휴게음식점)","258.97","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"22","복합유통게임제공업","03_05_04_P","5310000","CDFF2241032024000004","2024-09-27","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 가좌동 480-7 Y ZONE 빌딩","경상남도 진주시 진주대로 518, Y ZONE 빌딩 5층 501, 502호 (가좌동)","52827","오엑스피시방(OXPC) 진주경상대점","2026-02-06 17:21:31","U","2026-02-08 02:40:00","","300718.503533904","184315.542417842","복합유통게임제공업","유통관련업","0","","휴게음식점","521.5","0","0","","0","0","0","0","","","","","","","","","","","","164","","전체이용가","","","","",
"23","복합유통게임제공업","03_05_04_P","5310000","CDFF2241032024000001","2024-02-07","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 평거동 791-1","경상남도 진주시 신평공원길7번길 15, 3층 (평거동)","52702","오엑스PC 진주평거점","2026-02-06 17:24:58","U","2026-02-08 02:40:00","","296850.331108657","186258.2791842","복합유통게임제공업","유통관련업","0","","휴게음식점","438.09","0","0","","0","0","0","0","","","","","","","","","","","","0","휴게음식점","전체이용가","","","","",
"24","복합유통게임제공업","03_05_04_P","5690000","CDFF2241032018000001","2018-02-09","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 아름동 1296 해피라움1","세종특별자치시 보듬3로 100, 해피라움1 206, 207호 (아름동)","30100","원탑PC cafe","2026-02-06 15:00:07","U","2026-02-08 02:40:00","","222185.187124592","334575.864766408","복합유통게임제공업","유통관련업","0","","식품접객업","254.75","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"25","복합유통게임제공업","03_05_04_P","4010000","CDFF2241032024000006","2024-09-13","","01","영업/정상","13","영업중","","","","","","","","경기도 시흥시 배곧동 215 시흥배곧 아브뉴프랑 센트럴 오렌지 217호","경기도 시흥시 서울대학로278번길 26, 시흥배곧 아브뉴프랑 센트럴 오렌지 217~224호 (배곧동)","15011","레벨업PC방 배곧점","2026-02-09 15:06:02","U","2026-02-11 02:40:00","","175820.421330517","429682.135298707","복합유통게임제공업","유통관련업","0","","휴게음식점","472.02","0","0","","0","0","0","0","","","","","","","","","","","","185","","","","","","",
"26","복합유통게임제공업","03_05_04_P","4810000","CDFF2241032025000003","2025-12-15","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 학동 87-2","전라남도 여수시 시청동5길 11-2, 4층 (학동)","59689","레드포스PC 아레나 여수 학동점(복합-18)","2026-02-09 14:07:49","U","2026-02-11 02:40:00","","260967.537972796","140186.543929545","복합유통게임제공업","유통관련업","5","기타","휴게음식점","524.2","4","1","근린생활시설","0","0","0","0","","","","","","","","","","","","146","식품접객업","전체이용가","","","","중심상업지역",
"27","복합유통게임제공업","03_05_04_P","3780000","CDFF2241032023000003","2023-09-20","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 중원구 성남동 3781","경기도 성남시 중원구 제일로35번길 8, 2층 (성남동)","13368","크라우드PC 성남중원구청점","2026-02-09 11:34:20","U","2026-02-11 02:40:00","","211966.446136296","436501.651576725","복합유통게임제공업","유통관련업","6","기타","휴게음식점","295.3","5","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","준주거지역",
"28","복합유통게임제공업","03_05_04_P","5350000","CDFF2241032026000001","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 내동 1142-5 201호","경상남도 김해시 내외로95번길 15, 201호 (내동)","50948","BOSS PC cafe","2026-02-10 15:58:13","I","2026-02-12 00:20:02","","369943.653035193","194546.341606179","복합유통게임제공업","유통관련업","3","","식품접객업(휴게음식점)","331.52","2","0","","0","0","0","0","","","","","","","","","","","","135","식품접객업(휴게음식점)","","","","","일반상업지역",
"29","복합유통게임제공업","03_05_04_P","4950000","CDFF2241032017000007","2017-06-22","","03","폐업","03","폐업","2026-02-10","","","","","","","전라남도 무안군 삼향읍 남악리 2129","전라남도 무안군 삼향읍 남악3로82번길 15","58567","왕","2026-02-10 15:33:25","U","2026-02-12 02:40:00","","150709.423205197","146191.443484844","복합유통게임제공업","유통관련업","0","","코인노래연습장","297.52","0","0","","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
