번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
86,동물미용업,02_03_11_P,5530000,577000004920210105,2021-12-30,,3,폐업,2,폐업,2023-05-23,,,,,0,,경기도 화성시 동탄구 목동  ***-*,"경기도 화성시 동탄구 동탄신리천로 ***, 동탄리더스퀘어 *층 ***호,***호 (목동)",18490,박준뷰티랩 끼멍끼냥 동탄본점,2023-05-23 10:55:04,I,2026-02-04 01:35:23,,210823.93286312,408951.158486116,동물미용업,동물미용업(일반),000,0,,박준뷰티랩끼멍끼냥동탄본점_경기도화성시동탄구목동***-*
341,동물미용업,02_03_11_P,3540000,354000004920210027,2021-12-27,,1,영업/정상,0,정상,,,,,,0,,인천광역시 부평구 부평동 ***-*** *층,"인천광역시 부평구 경원대로 ****-*, *층 (부평동)",21404,뛰뛰 강아지 놀이터,2026-02-06 09:52:09,U,2026-02-08 02:40:00,,175152.810551257,443233.143063799,동물미용업,동물미용업(일반),000,0,,뛰뛰강아지놀이터_인천광역시부평구부평동***-****층
119,동물미용업,02_03_11_P,5530000,575000004920210096,2021-11-25,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 효행구 기안동  ***,"경기도 화성시 효행구 기안길 *, ***호 (기안동)",18338,김쌤펫살롱,2024-02-26 14:59:44,I,2026-02-04 01:35:23,,198251.227010015,413486.700967137,동물미용업,동물미용업(일반),000,0,,김쌤펫살롱_경기도화성시효행구기안동***
7,동물미용업,02_03_11_P,5530000,574000004920210093,2021-11-18,,3,폐업,2,폐업,2023-12-29,,,,,0,,경기도 화성시 만세구 향남읍 행정리 ***-*,"경기도 화성시 만세구 향남읍 행정중앙*로 **, 향남프라자 ***호",18600,놀다가개,2023-12-29 17:23:08,I,2026-02-04 01:35:23,,193057.472326432,403129.995628748,동물미용업,동물미용업(일반),000,0,,놀다가개_경기도화성시만세구향남읍행정리***-*
85,동물미용업,02_03_11_P,5530000,577000004920210089,2021-10-15,,3,폐업,2,폐업,2024-12-31,,,,031-377-5378,0,,경기도 화성시 동탄구 영천동  산 **-* 동탄역 대방디엠시티 더 센텀 상가동 A***호,"경기도 화성시 동탄구 동탄대로 ***-**, 상가동 A***호 (영천동, 동탄역 대방디엠시티 더 센텀)",18467,PLENOPET(플레노펫),2025-01-13 17:44:54,I,2026-02-04 01:35:23,,208773.208500488,412073.497774566,동물미용업,동물미용업(일반),000,0,,PLENOPET(플레노펫)_경기도화성시동탄구영천동산**-*동탄역대방디엠시티더센텀상가동A***호
6,동물미용업,02_03_11_P,5530000,574000004920210088,2021-09-30,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 만세구 향남읍 행정리 *** 상가 ***호,"경기도 화성시 만세구 향남읍 행정중앙*로 **, 상가 ***호",18600,루루독,2022-11-03 15:29:39,I,2026-02-04 01:35:23,,193324.22465576,402800.770098339,동물미용업,동물미용업(일반),000,0,,루루독_경기도화성시만세구향남읍행정리***상가***호
110,동물미용업,02_03_11_P,5530000,574000004920210078,2021-08-27,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 만세구 향남읍 하길리 ****-*,"경기도 화성시 만세구 향남읍 한절이*길 **, ***호",18606,체리쉬그루밍(cherish grooming),2022-04-28 18:09:32,I,2026-02-04 01:35:23,,192539.081914773,401657.259755432,동물미용업,동물미용업(일반),000,0,,체리쉬그루밍(cherishgrooming)_경기도화성시만세구향남읍하길리****-*
84,동물미용업,02_03_11_P,5530000,577000004920210076,2021-08-27,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 목동  ***-*,"경기도 화성시 동탄구 왕배산*길 **, *층 (목동)",18490,그루밍독스,2022-04-28 18:09:32,I,2026-02-04 01:35:23,,211130.372115315,408798.871135981,동물미용업,동물미용업(일반),000,0,,그루밍독스_경기도화성시동탄구목동***-*
338,동물미용업,02_03_11_P,5190000,519000004920210004,2021-08-23,,3,폐업,2,폐업,2024-08-30,,,,,0,,경상북도 청도군 각북면 삼평리 *-*,경상북도 청도군 각북면 헐티로 ***-**,38303,(주)원더케어,2026-02-06 16:59:17,U,2026-02-08 02:40:00,,344089.929879995,243981.968281049,동물미용업,동물미용업(일반),L00,0,,(주)원더케어_경상북도청도군각북면삼평리*-*
466,동물미용업,02_03_11_P,6510000,651000004920210033,2021-08-12,,3,폐업,2,폐업,2026-02-26,,,,,0,,제주특별자치도 제주시 이도이동 **-*,"제주특별자치도 제주시 연신로 **, *층 (이도이동)",63228,아꼽개,2026-02-26 18:23:35,U,2026-02-28 02:40:00,,158022.190233739,-144.299320715789,동물미용업,동물미용업(일반),000,0,,아꼽개_제주특별자치도제주시이도이동**-*
