번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,Unnamed: 46,record_key
437,농어촌민박업,03_11_08_P,3570000,AGCV035700002026000014,2026-02-19,,1,영업/정상,1,정상,,,,,,497.0,417-863,인천광역시 강화군 화도면 여차리 76-14,인천광역시 강화군 화도면 해안남로2029번길 20-7,23061.0,화이트갤러리 A동,2026-02-19 08:33:15,I,2026-02-21 00:20:05,,,,생산관리지역,,1,198.81,0.0,5,4,2,2,2,2,0,1,2,,8.0,2,,,화이트갤러리A동_인천광역시강화군화도면여차리76-14
435,농어촌민박업,03_11_08_P,5370000,AGCV053700002026000011,2026-02-19,,1,영업/정상,1,정상,,,,,,789.0,,,경상남도 거제시 일운면 거제대로 1488-9,53329.0,거제도 스파 어우름,2026-02-19 21:15:11,I,2026-02-21 00:20:05,,352334.138566893,145116.474356234,계획관리지역,,5,225.4,0.0,8,9,1,9,0,6,3,1,1,,12.0,8,,,거제도스파어우름_
436,농어촌민박업,03_11_08_P,5370000,AGCV053700002026000012,2026-02-19,,1,영업/정상,1,정상,,,,,,1306.0,,,경상남도 거제시 둔덕면 술역3길 106-1,53279.0,구릉,2026-02-19 21:17:39,I,2026-02-21 00:20:05,,,,"자연환경보전지역,수산자원보호구역",,4,228.78,0.0,4,8,0,4,0,4,0,0,0,,12.0,5,,,구릉_
429,농어촌민박업,03_11_08_P,5450000,AGCV054500002026000004,2026-02-19,,1,영업/정상,1,정상,,,,,,1722.0,,,경상남도 산청군 삼장면 대하내원로145번길 136,52235.0,원시골,2026-02-14 15:42:42,I,2026-02-20 00:20:13,,273273.190278311,199724.949379921,자연환경보존지역,,4,172.97,172.97,4,4,1,4,0,4,0,0,0,,6.05,2,,,원시골_
431,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000064,2026-02-19,,1,영업/정상,1,정상,,,,,,,695-979,제주특별자치도 제주시 구좌읍 송당리 1424-4,제주특별자치도 제주시 구좌읍 중산간동로 2395-93,63355.0,백록담,2026-02-19 16:35:03,I,2026-02-21 00:20:05,,180822.973738531,-2774.58963662742,,,2,92.41,0.0,5,5,1,2,0,2,0,0,1,,0.0,0,,,백록담_제주특별자치도제주시구좌읍송당리1424-4
452,농어촌민박업,03_11_08_P,4170000,AGCV041700002026000014,2026-02-19,,1,영업/정상,1,정상,,,,,,571.21,,,경기도 양평군 서종면 꽃대울2길 98,12502.0,마더 하우스,2026-02-20 13:54:15,I,2026-02-22 00:20:02,,232032.968276069,457668.649092304,관리지역,,3,225.51,225.51,2,5,1,4,1,0,0,0,0,,0.0,3,,,마더하우스_
450,농어촌민박업,03_11_08_P,3580000,AGCV035800002026000003,2026-02-19,,1,영업/정상,1,정상,,,,,,756.0,409-871,인천광역시 옹진군 영흥면 내리 1328-218,인천광역시 옹진군 영흥면 영흥서로 396-77,23117.0,해온담민박,2026-02-20 15:54:07,I,2026-02-22 00:20:02,,152302.725783197,420029.576813961,계획관리지역,,3,131.46,0.0,3,4,1,2,0,2,0,1,1,,6.0,2,,,해온담민박_인천광역시옹진군영흥면내리1328-218
434,농어촌민박업,03_11_08_P,5370000,AGCV053700002026000010,2026-02-19,,1,영업/정상,1,정상,,,,,,606.0,,,경상남도 거제시 둔덕면 거림1길 29,53280.0,댕구르르,2026-02-19 21:12:38,I,2026-02-21 00:20:05,,338067.610259837,151572.485907878,계획관리지역,,1,104.06,0.0,2,2,1,2,0,1,0,1,1,,0.0,3,,,댕구르르_
433,농어촌민박업,03_11_08_P,4890000,AGCV048900002026000001,2026-02-19,,1,영업/정상,1,정상,,,,,,318.7,,,전라남도 보성군 회천면 회천군지길 29-13,59470.0,달토끼,2026-02-19 15:38:26,I,2026-02-21 00:20:05,,209524.095390876,131534.472174952,계획관리지역,,1,66.7,0.0,2,2,0,2,0,2,0,1,1,,0.0,1,,,달토끼_
438,농어촌민박업,03_11_08_P,3570000,AGCV035700002026000015,2026-02-19,,1,영업/정상,1,정상,,,,,,336.0,417-826,인천광역시 강화군 선원면 지산리 731-3,인천광역시 강화군 선원면 선원사지로191번길 36-59,23042.0,Tri_ON(트라이온),2026-02-19 16:13:18,I,2026-02-21 00:20:05,,,,계획관리지역,,1,82.1,0.0,4,3,2,2,0,2,0,9,2,,3.0,1,,,Tri_ON(트라이온)_인천광역시강화군선원면지산리731-3
