번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,자본금의규모,사업자등록번호,Unnamed: 31,record_key
59,후원방문판매업체,08_26_05_P,6110000,20216110000301000564,2021-11-16,,3,폐업,4,폐업,2026-03-03,,,,,,7965.0,서울특별시 양천구 목동  ***번지 *호,"서울특별시 양천구 목동중앙서로*나길 **-**, ***호(목동)",,시리우스 인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,187964.639303834,448103.367820111,후원방문판매업,0,,,시리우스인셀덤_서울특별시양천구목동***번지*호
60,후원방문판매업체,08_26_05_P,6110000,20216110000301000545,2021-11-16,,3,폐업,4,폐업,2026-03-03,,,,,,6703.0,서울특별시 서초구 방배동  ****번지 *호 은하빌라,"서울특별시 서초구 방배로*길 *, ***호(방배동, 은하빌라)",,우분트 인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,199875.079389299,441738.028170615,후원방문판매업,0,,,우분트인셀덤_서울특별시서초구방배동****번지*호은하빌라
50,후원방문판매업체,08_26_05_P,6110000,20216110000301000479,2021-10-25,,3,폐업,4,폐업,2026-03-03,,,,,,6025.0,서울특별시 강남구 신사동  ***번지 **호,"서울특별시 강남구 도산대로**길 **, ***호(신사동)",,인셀덤 신사점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,202605.44192865,446656.986456724,후원방문판매업,0,,,인셀덤신사점_서울특별시강남구신사동***번지**호
48,후원방문판매업체,08_26_05_P,6110000,20216110000301000462,2021-10-25,,3,폐업,4,폐업,2026-03-03,,,,,,7803.0,서울특별시 강서구 마곡동  ***번지 *호 마곡사이언스타워,"서울특별시 강서구 마곡동로 **, 마곡사이언스타워 *층 ***호(마곡동)",,인셀덤마곡점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,185259.185267583,450932.359772264,후원방문판매업,0,,,인셀덤마곡점_서울특별시강서구마곡동***번지*호마곡사이언스타워
47,후원방문판매업체,08_26_05_P,6110000,20216110000301000457,2021-10-25,,3,폐업,4,폐업,2026-03-03,,,,,,3476.0,서울특별시 은평구 응암동  ***번지 *호 백련산힐스테이트*차,"서울특별시 은평구 백련산로*길 **, ***동 ****호(응암동, 백련산 힐스테이트*차)",,인셀덤(노블레스리치),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,193326.661927575,454458.493979132,후원방문판매업,0,,,인셀덤(노블레스리치)_서울특별시은평구응암동***번지*호백련산힐스테이트*차
46,후원방문판매업체,08_26_05_P,6110000,20216110000301000486,2021-10-25,,3,폐업,4,폐업,2026-03-03,,,,,,6228.0,서울특별시 강남구 역삼동  ***번지 *호 월드하이빌,"서울특별시 강남구 논현로**길 **, 월드하이빌 ***호(역삼동)",,인셀덤 비.채.나,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,203612.112622968,443614.534882172,후원방문판매업,0,,,인셀덤비.채.나_서울특별시강남구역삼동***번지*호월드하이빌
45,후원방문판매업체,08_26_05_P,6110000,20216110000301000485,2021-10-25,,3,폐업,4,폐업,2026-03-03,,,,,,4161.0,서울특별시 마포구 용강동  ***번지 *호 래미안마포리버웰,"서울특별시 마포구 토정로**길 **, 래미안마포리버웰 ***동 ****호(용강동)",,미라클,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,194792.946492694,448900.109548096,후원방문판매업,0,,,미라클_서울특별시마포구용강동***번지*호래미안마포리버웰
49,후원방문판매업체,08_26_05_P,6110000,20216110000301000477,2021-10-25,,3,폐업,4,폐업,2026-03-03,,,,,,5673.0,서울특별시 송파구 송파동  ***번지 *호 가락삼익맨숀,"서울특별시 송파구 오금로**길 *, ***동 ***호(송파동, 가락삼익맨숀)",,위례성대로10길 27,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,210657.024580332,444667.864970738,후원방문판매업,0,,,위례성대로10길27_서울특별시송파구송파동***번지*호가락삼익맨숀
51,후원방문판매업체,08_26_05_P,6110000,20216110000301000443,2021-10-20,,3,폐업,4,폐업,2026-03-03,,,,,,6308.0,서울특별시 강남구 개포동  ****번지 *호,"서울특별시 강남구 개포로**길 **-*, 지하*층(개포동)",,태양,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,204364.578346624,441690.869618545,후원방문판매업,0,,,태양_서울특별시강남구개포동****번지*호
31,후원방문판매업체,08_26_05_P,6110000,20216110000301000671,2021-10-19,,3,폐업,4,폐업,2026-03-03,,,,,,6136.0,서울특별시 강남구 역삼동  ***번지 *호 금석빌딩,"서울특별시 강남구 논현로 ***, 금석빌딩 B***호(역삼동)",,민지 인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,203061.960408696,444718.703070849,후원방문판매업,0,,,민지인셀덤_서울특별시강남구역삼동***번지*호금석빌딩
89,후원방문판매업체,08_26_05_P,6110000,20216110000301000401,2021-09-28,,3,폐업,4,폐업,2026-03-03,,,,,,3345.0,서울특별시 은평구 불광동  ***번지 **호 메트로타워,"서울특별시 은평구 통일로 ***, 메트로타워 **층 *****호(불광동)",,인셀덤 백설공주,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,192998.202204135,457479.99522553,후원방문판매업,0,,,인셀덤백설공주_서울특별시은평구불광동***번지**호메트로타워
79,후원방문판매업체,08_26_05_P,6110000,20216110000301000357,2021-09-27,,3,폐업,4,폐업,2026-03-03,,,,,,7918.0,서울특별시 양천구 신월동  ***번지 **호,"서울특별시 양천구 곰달래로*길 **-*, ****호(신월동)",,인셀덤 오아시스,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,185196.955,448081.845,후원방문판매업,0,,,인셀덤오아시스_서울특별시양천구신월동***번지**호
80,후원방문판매업체,08_26_05_P,6110000,20216110000301000364,2021-09-27,,3,폐업,4,폐업,2026-03-03,,,,,,1752.0,서울특별시 노원구 상계동  ***번지 *호 상계주공*단지아파트,"서울특별시 노원구 노해로 ***, ***동 ****호(상계동, 상계주공*단지아파트)",,인셀덤 뉴칼라,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,205644.260618089,461270.63619789,후원방문판매업,0,,,인셀덤뉴칼라_서울특별시노원구상계동***번지*호상계주공*단지아파트
81,후원방문판매업체,08_26_05_P,6110000,20216110000301000367,2021-09-27,,3,폐업,4,폐업,2026-03-03,,,,,,4939.0,서울특별시 광진구 중곡동  ***번지 *호,"서울특별시 광진구 용마산로*마길 **, *층(중곡동)",,파워인,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,207981.458094599,450982.644415334,후원방문판매업,0,,,파워인_서울특별시광진구중곡동***번지*호
82,후원방문판매업체,08_26_05_P,6110000,20216110000301000374,2021-09-27,,3,폐업,4,폐업,2026-03-03,,,,,,6079.0,서울특별시 강남구 삼성동  **번지 *호 시티아파트,"서울특별시 강남구 봉은사로***길 **-*, A동 지층 ***호(삼성동, 시티아파트)",,인셀덤(노블레스),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,205583.168087174,446310.317016368,후원방문판매업,0,,,인셀덤(노블레스)_서울특별시강남구삼성동**번지*호시티아파트
83,후원방문판매업체,08_26_05_P,6110000,20216110000301000380,2021-09-27,,3,폐업,4,폐업,2026-03-03,,,,,,14923.0,경기도 시흥시 은행동  ***번지 *호 은계센트럴타운,"경기도 시흥시 은계중앙로 **, ***동 ***호(은행동, 은계센트럴타운)",,위셀미,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,182311.99512359,437541.475671843,후원방문판매업,0,,,위셀미_경기도시흥시은행동***번지*호은계센트럴타운
84,후원방문판매업체,08_26_05_P,6110000,20216110000301000390,2021-09-27,,3,폐업,4,폐업,2026-03-03,,,,,,7957.0,서울특별시 양천구 목동  ***번지 *호 골드빌,"서울특별시 양천구 목동중앙남로**길 **, ***호(목동, 골드빌)",,인셀덤 리프레쉬,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,187979.814852501,448669.482899014,후원방문판매업,0,,,인셀덤리프레쉬_서울특별시양천구목동***번지*호골드빌
86,후원방문판매업체,08_26_05_P,6110000,20216110000301000333,2021-09-23,,3,폐업,4,폐업,2026-03-03,,,,,,1752.0,서울특별시 노원구 상계동  ***번지 *호 상계주공*단지아파트,"서울특별시 노원구 노해로 ***, ***동 ***호(상계동, 상계주공*단지아파트)",,인셀덤 아이리스,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,205644.260618089,461270.63619789,후원방문판매업,0,,,인셀덤아이리스_서울특별시노원구상계동***번지*호상계주공*단지아파트
