번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
143,유료직업소개소,11_50_02_P,4641000,2023466008114500017,2023-12-11,,1,영업/정상,20,영업중,,,,,,,,전북특별자치도 전주시 덕진구 우아동1가 1110-11,"전북특별자치도 전주시 덕진구 인교8길 18, 1층 (우아동1가)",55028,가다인력,2026-03-05 14:15:24,U,2026-03-07 02:40:00,,215687.88107299,258476.830263665,개인,유료,,가다인력_전북특별자치도전주시덕진구우아동1가1110-11
111,유료직업소개소,11_50_02_P,4030000,2023403024314500001,2023-12-01,,1,영업/정상,20,영업중,,,,,,,,경기도 의왕시 삼동 36통 7반 장안마을주공아파트 107동 201호,"경기도 의왕시 전주남이길 27, 오전동상가 302호 (오전동)",16060,으뜸인력 직업소개소,2026-03-04 14:58:09,U,2026-03-06 02:40:00,,197919.869189891,427629.097450809,개인,유료,,으뜸인력직업소개소_경기도의왕시삼동36통7반장안마을주공아파트107동201호
142,유료직업소개소,11_50_02_P,4641000,2023466008114500015,2023-11-24,,1,영업/정상,20,영업중,,,,,,,,전북특별자치도 전주시 덕진구 인후동1가 435-30,"전북특별자치도 전주시 덕진구 견훤로 255, 2층 (인후동1가)",55008,가온인력사무소,2026-03-05 14:16:47,U,2026-03-07 02:40:00,,214140.690892241,259372.531175762,개인,유료,,가온인력사무소_전북특별자치도전주시덕진구인후동1가435-30
110,유료직업소개소,11_50_02_P,3210000,2023321019514500039,2023-11-21,,1,영업/정상,20,영업중,,,,,025851561,,,서울특별시 서초구 서초동 1665-17 용원빌딩,"서울특별시 서초구 서초중앙로18길 31, 용원빌딩 403호 (서초동)",06634,알렉산더휴즈 코리아,2026-03-04 18:38:05,U,2026-03-06 02:40:00,,201345.772661697,443270.5372211,개인,유료,,알렉산더휴즈코리아_서울특별시서초구서초동1665-17용원빌딩
27,유료직업소개소,11_50_02_P,3010000,2024301020214500003,2023-08-01,,1,영업/정상,20,영업중,,,,,02  60308106,,,서울특별시 중구 수하동 66 FERRUM TOWER,"서울특별시 중구 을지로5길 19, FERRUM TOWER 23층 S23006호 (수하동)",04539,리크루트퍼스트코리아 주식회사,2026-03-03 09:32:22,U,2026-03-05 02:40:00,,198516.189192966,451641.738076021,법인,유료,,리크루트퍼스트코리아주식회사_서울특별시중구수하동66FERRUMTOWER
64,유료직업소개소,11_50_02_P,3220000,2023322025014500036,2023-07-12,,1,영업/정상,20,영업중,,,,,5640700,,,서울특별시 강남구 삼성동 113 조양빌딩,"서울특별시 강남구 봉은사로 418, 조양빌딩 5층 523호 (삼성동)",06153,(주)코리아동진,2026-03-04 15:42:25,U,2026-03-06 02:40:00,,203991.742638591,445376.743631329,법인,유료,,(주)코리아동진_서울특별시강남구삼성동113조양빌딩
83,유료직업소개소,11_50_02_P,4800000,2023480031914500005,2023-03-28,,1,영업/정상,20,영업중,,,,,,,,전라남도 목포시 용당동 1064-16,전라남도 목포시 용당로 96 (용당동),58735,목포신안간병인협회,2026-03-04 09:54:55,U,2026-03-06 02:40:00,,145236.093701427,144346.716756302,개인,유료,,목포신안간병인협회_전라남도목포시용당동1064-16
26,유료직업소개소,11_50_02_P,4390000,2023439021414500004,2023-03-24,,1,영업/정상,20,영업중,,,,,043 843 1982,,,충청북도 충주시 봉방동 245-7,"충청북도 충주시 삼원로 25, 1층 (봉방동)",27430,세계인력,2026-03-03 10:05:56,U,2026-03-05 02:40:00,,281464.462529808,385945.656921694,개인,유료,,세계인력_충청북도충주시봉방동245-7
82,유료직업소개소,11_50_02_P,4060000,2023406045914500006,2023-03-15,,1,영업/정상,20,영업중,,,,,,,,경기도 파주시 와동동 1384 운정법조타운,"경기도 파주시 금바위로 42, 운정법조타운 904호 (와동동)",10894,드림인력,2026-03-04 09:11:22,U,2026-03-06 02:40:00,,178771.250063023,469568.702177656,개인,유료,,드림인력_경기도파주시와동동1384운정법조타운
139,유료직업소개소,11_50_02_P,3620000,2023362019114500007,2023-03-07,,1,영업/정상,20,영업중,,,,,,,,광주광역시 북구 두암동 567-1,"광주광역시 북구 동문대로 179-5, 2층 (두암동)",61171,광주간병인협회,2026-03-05 15:54:31,U,2026-03-07 02:40:00,,193410.90906798,186591.292791976,개인,유료,,광주간병인협회_광주광역시북구두암동567-1
