번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,Unnamed: 59,record_key
120,대중문화예술기획업,03_08_02_P,3220000,CDFF3241092026000033,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 도곡동 ***-** 유일빌딩,"서울특별시 강남구 남부순환로 ****, 유일빌딩 *층 A**호 (도곡동)",6296.0,주식회사 아워이앤엠,2026-02-24 13:31:21,I,2026-02-26 00:20:08,,203851.702886164,442606.195243796,대중문화예술기획업,유통관련업,0,,매니지먼트/에이전시/공연기획,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사아워이앤엠_서울특별시강남구도곡동***-**유일빌딩
119,대중문화예술기획업,03_08_02_P,6300000,M04022026000002,2026-02-24,,1,영업/정상,1,영업,,,,,,,,대전광역시 유성구 궁동 ***번지 **호  *동,"대전광역시 유성구 궁동로**번길 **-*, *층 ***-A**호호 (궁동)",,주식회사 더블엘,2026-02-24 17:24:16,I,2026-02-26 00:20:08,,231341.081082406,318062.076747147,대중문화예술기획업,,0,,,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,매니지먼트 기획,,,,주식회사더블엘_대전광역시유성구궁동***번지**호*동
117,대중문화예술기획업,03_08_02_P,4060000,CDFF3241092026000003,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 문발동 ***-* 디네오 D.NEO,"경기도 파주시 회동길 **-*, 디네오 D.NEO *층 (문발동)",10881.0,주식회사 오리가,2026-02-24 14:55:17,I,2026-02-26 00:20:08,,172160.575286981,467081.628322287,대중문화예술기획업,유통관련업,0,,"가수 및 아티스트, 크리에이터, 방송인 등 기획·매니지먼트 / 공연 및 문화콘텐츠 기획·제작 / 유튜브 등 디지털 콘텐츠 및 방송출연기획",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사오리가_경기도파주시문발동***-*디네오D.NEO
116,대중문화예술기획업,03_08_02_P,3970000,CDFF3241092026000001,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,경기도 과천시 중앙동 ** 과천 푸르지오 써밋 ***동 ***호,"경기도 과천시 희망길 *, ***동 ***호 (중앙동, 과천 푸르지오 써밋)",13805.0,(주)AHJJ엔터테인먼트,2026-02-24 17:05:11,I,2026-02-26 00:20:08,,199024.743569041,436580.527955398,대중문화예술기획업,유통관련업,0,,연예 엔터테인먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,(주)AHJJ엔터테인먼트_경기도과천시중앙동**과천푸르지오써밋***동***호
123,대중문화예술기획업,03_08_02_P,6290000,M04022026000001,2026-02-24,,1,영업/정상,1,영업,,,,,,,,광주광역시 서구 치평동 ****번지 *호 골드메디타워 ***호,"광주광역시 서구 상무중앙로 **-*, ***호 (치평동,골드메디타워)",,주식회사 에스비엠엔터테인먼트,2026-02-24 19:32:16,I,2026-02-26 00:20:08,,186158.840821989,183735.42430581,대중문화예술기획업,,0,,,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,연예매니지먼트 등,,,,주식회사에스비엠엔터테인먼트_광주광역시서구치평동****번지*호골드메디타워***호
136,대중문화예술기획업,03_08_02_P,6430000,M04022026000002,2026-02-24,,1,영업/정상,1,영업,,,,,,,,충청북도 청주시 흥덕구 복대동 ***번지 *호 동경오피스텔,"충청북도 청주시 흥덕구 죽천로 **-*, *층 ***호 (복대동,동경오피스텔)",,주식회사 씨에이치유,2026-02-26 14:11:32,I,2026-02-28 00:20:02,,238751.033449341,348635.189872492,대중문화예술기획업,,0,,,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,"엔터테인먼트, 연예기획업, 매니저업, 공연기획업, 방송업",,,,주식회사씨에이치유_충청북도청주시흥덕구복대동***번지*호동경오피스텔
108,대중문화예술기획업,03_08_02_P,3220000,CDFF3241092026000032,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 신사동 ***-**,"서울특별시 강남구 강남대로***길 **, *층 (신사동)",6035.0,어센트글로벌 주식회사,2026-02-20 17:52:22,I,2026-02-22 00:20:02,,201859.198511865,446245.504668223,대중문화예술기획업,유통관련업,0,,"대중문화예술인 및 콘텐츠 창작자에 대한 연예매니지먼트, 방송,공연,광고 출연 기획 및 계약 중개",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,어센트글로벌주식회사_서울특별시강남구신사동***-**
106,대중문화예술기획업,03_08_02_P,3990000,CDFF3241092026000005,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 다산동 **** 다산 지금 데시앙스튜디오 ***호,"경기도 남양주시 경춘로 ***, 다산 지금 데시앙스튜디오 ***호 (다산동)",12284.0,주식회사 리온엔터테인먼트,2026-02-20 10:50:55,I,2026-02-22 00:20:02,,214781.034282988,456504.630426607,대중문화예술기획업,유통관련업,0,,엔터테인먼트업,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사리온엔터테인먼트_경기도남양주시다산동****다산지금데시앙스튜디오***호
105,대중문화예술기획업,03_08_02_P,3990000,CDFF3241092026000009,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 평내동 *** 리치플러스 ***A호,"경기도 남양주시 경춘로****번길 **, 리치플러스 ***A호 (평내동)",12219.0,창(暢)엔터,2026-02-20 11:34:36,I,2026-02-22 00:20:02,,221393.884080245,460915.917819003,대중문화예술기획업,유통관련업,0,,가수 에이전트 및 양성 기획 외,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,창(暢)엔터_경기도남양주시평내동***리치플러스***A호
104,대중문화예술기획업,03_08_02_P,3990000,CDFF3241092026000008,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 별내동 **** 별내역 아이파크 스위트 ***동 ****호,"경기도 남양주시 별내중앙로 **, 별내역 아이파크 스위트 ***동 ****호 (별내동)",12113.0,런앤런 컴퍼니,2026-02-20 11:33:49,I,2026-02-22 00:20:02,,211165.167194474,460284.287983948,대중문화예술기획업,유통관련업,0,,매니저업 외,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,런앤런컴퍼니_경기도남양주시별내동****별내역아이파크스위트***동****호
